shop_name,comment_num,avg_consume,main_cuisine,address,recommend_cuisine,detail_url,taste_score,env_score,service_score,phone,address_detail,id,average_score
西贝莜面村(广州黄埔大悦汇店),1213.0,98.0,西北民间菜,科学城/萝岗高德汇,蒙古奶酪饼、烤羊肉串、西贝面筋,https://www.dianping.com/shanghai/ch10/p1,9.4,9.4,9.4, 电话： 4008207320 ？ 13711121310 , 科学大道46号大悦汇广场2楼201-9铺 ,18878,9.4
好客之家(均禾店),1511.0,71.0,客家菜,嘉禾/人和,客家酿豆腐、有料猪肉汤、咸鸡,https://www.dianping.com/shanghai/ch10/p1,9.4,9.4,9.3, 电话： 020-86340589 , 长红竹仔园街159号 ,7372,9.366666666666667
好客之家(均禾店),1512.0,72.0,客家菜,嘉禾/人和,客家酿豆腐、有料猪肉汤、咸鸡,https://www.dianping.com/shanghai/ch10/p1,9.4,9.4,9.3, 电话： 020-86340589 , 长红竹仔园街159号 ,7373,9.366666666666667
如轩·海鲜砂锅粥·潮汕菜(天河领展广场店),4202.0,85.0,潮汕菜,兴盛路/跑马场,招牌爆汁灌汤包、鲜虾粥、招牌膏蟹鲜虾粥,https://www.dianping.com/shanghai/ch10/p1,9.3,9.3,9.3, 电话： 020-38804238 , 马场路36号太阳新天地6楼 ,7477,9.3
百里江-顺德菜(万科云店),521.0,79.0,顺德菜,小新塘,招牌顺德公碌鹅、鲜花椒蒸加州鲈鱼、大良炸牛奶,https://www.dianping.com/shanghai/ch10/p1,9.3,9.3,9.3, 电话： 020-38837750 ？ 13556152924 , 华观路1933号万科云城B栋109铺 ,15245,9.3
大赞·炙烧寿司(至泰广场店),3938.0,89.0,寿司,中心城,大赞火焰炙烧拼盘7件、炙烧蟹棒寿司、中华海草,https://www.dianping.com/shanghai/ch10/p1,9.3,9.3,9.3, 电话： 020-31801062 , 开创大道至泰商业广场A4栋2楼2011号 ,7160,9.3
大赞·炙烧寿司(万民城店),2819.0,91.0,寿司,大石,大赞火焰炙烧拼盘5件、炙烧鹅肝寿司、大赞火焰炙烧拼盘7件,https://www.dianping.com/shanghai/ch10/p1,9.2,9.3,9.3, 电话： 020-84887694 , 富石路万民城MOCITY3楼121号 ,7122,9.266666666666667
西贝莜面村(广州海珠万达店),1670.0,88.0,西北民间菜,海珠区,蒙古奶酪饼、羊肉串、西贝面筋,https://www.dianping.com/shanghai/ch10/p1,9.2,9.3,9.3, 电话： 4008207320 ？ 15767044112 , 逸景路万达广场4楼 ,18875,9.266666666666667
叶叶菩提(太原别墅店),4066.0,597.0,素食,音乐学院/五官科医院,黑松露佛跳墙,https://www.dianping.com/shanghai/ch10/p13,9.2,9.3,9.3,"电话：
021-52666089",太原路160号太原别墅6号楼一层,540,9.266666666666667
南海渔村·徐博馆(琶洲店),226.0,315.0,广州菜,琶洲,百岁草炖珍珠鲍鱼、干巴菌蒸东星斑、家烧豆面波士顿龙虾,https://www.dianping.com/shanghai/ch10/p1,9.2,9.3,9.2, 电话： 18903013311 , 海洲路38号东升云鼎大厦3层 ,4931,9.233333333333333
